run,large_25d
1,0.791264367816092
2,0.7910344827586206
3,0.7667816091954023
4,0.7914942528735632
5,0.7739080459770115
6,0.7804597701149425
7,0.7974712643678161
8,0.7904597701149425
9,0.780919540229885
10,0.7809195402298851
11,0.7777011494252873
12,0.7912643678160919
13,0.7979310344827587
14,0.7770114942528736
15,0.7941379310344828
16,0.7841379310344828
17,0.7809195402298851
18,0.780919540229885
19,0.7906896551724139
20,0.7602298850574712
21,0.7773563218390805
22,0.7812643678160919
23,0.7875862068965518
24,0.7774712643678161
25,0.7837931034482758
26,0.7774712643678161
27,0.7941379310344828
28,0.7805747126436782
29,0.7842528735632184
30,0.7983908045977012
31,0.7675862068965518
