run,medium_50d
1,0.7877011494252874
2,0.7945977011494253
3,0.797816091954023
4,0.7943678160919541
5,0.7978160919540229
6,0.7979310344827586
7,0.7879310344827586
8,0.7910344827586206
9,0.7742528735632185
10,0.7947126436781609
11,0.8079310344827586
12,0.7875862068965518
13,0.7811494252873563
14,0.7842528735632184
15,0.7947126436781609
16,0.7836781609195402
17,0.7943678160919541
18,0.7806896551724138
19,0.7982758620689655
20,0.7773563218390803
21,0.790919540229885
22,0.8013793103448276
23,0.7671264367816092
24,0.7980459770114943
25,0.7772413793103449
26,0.7805747126436782
27,0.7877011494252872
28,0.7811494252873563
29,0.7877011494252872
30,0.7908045977011494
31,0.7871264367816092
