run,large_50d
1,0.7839080459770116
2,0.7503448275862068
3,0.7463218390804598
4,0.7670114942528736
5,0.756896551724138
6,0.7636781609195402
7,0.7704597701149425
8,0.7737931034482759
9,0.7670114942528736
10,0.7704597701149425
11,0.7805747126436782
12,0.7813793103448277
13,0.7636781609195402
14,0.7737931034482758
15,0.8010344827586205
16,0.7667816091954023
17,0.7433333333333334
18,0.7632183908045976
19,0.766896551724138
20,0.7397701149425288
21,0.770574712643678
22,0.7737931034482759
23,0.75
24,0.7572413793103447
25,0.7741379310344827
26,0.7457471264367816
27,0.7808045977011495
28,0.743103448275862
29,0.7668965517241381
30,0.7571264367816093
31,0.770344827586207
